assessment_id,study_id,objective_judgment,objective_rationale,embedding_verification_judgment,embedding_verification_rationale,resources_models_languages_judgment,resources_models_languages_rationale,baselines_metrics_judgment,baselines_metrics_rationale,attack_protocol_judgment,attack_protocol_rationale,overall_decision,overall_rationale,source_location
QA11,PS11,clear,Grammar-guided multi-bit generation objective is explicit,clear,Message-dependent partition type prediction and recovery are described,adequate,Five CodeSearchNet languages three models and generation settings are reported,adequate,Extraction rate CodeBLEU and payload range are quantitative; Pass@k is explicitly omitted,partial,Cropping is evaluated at 25% and 50% but the threat-model inventory is narrow,included,Assessable multi-bit method with a similarity proxy instead of executable tests,"CodeIP.pdf, Sections 3-5"
QA12,PS12,clear,Training-free universal post-generation detection objective is explicit,clear,Applicable idempotent transformations deterministic order and reapplication test are described,adequate,Function project and Tests4Py resources sample sizes and negative sets are reported,adequate,Detection utility invisibility robustness and efficiency measures are quantitative,adequate,"Ruff optimization, GPT-4 renaming, and CodeT5+ adaptive removal are evaluated with a functional-preservation check (Pass Rate); the fourth attack (existence/similarity analysis via CodeBERTScore and CodeBLEU) is an invisibility check with no accompanying functional check",included,Broad-scale evaluation including 507 Tests4Py versions and both clean and attacked-code utility checks,"ACW-Li.pdf, Sections III-IV"
QA13,PS13,clear,Entropy-selective quality-preserving watermarking objective is explicit,clear,Thresholded token biasing and matched detection are described,adequate,"HumanEval, MBPP, and DS-1000 are the main testbeds, extended to HumanEvalPack (C++, Java) and class-level ClassEval",adequate,"Detection and Pass@k are quantitatively assessed against post-hoc and watermark baselines (LogP(x), LogRank, DetectGPT, GPTZero, OpenAI Classifier, EXP-EDIT, WLLM)",partial,"Variable-renaming (varying ratio, 5 seeds) and commercial-service code-refactoring attacks are tested via AUROC on a single MBPP subset; post-attack functional correctness is not retested",included,"Foundational method with a clear mechanism and broad benchmark coverage, but attack evaluation is narrow (two attack types, one dataset)","SWEET.pdf, Sections 3-6"
QA14,PS14,clear,Practical structural-entropy watermarking objective is explicit,clear,AST variants partitioning network and statistical verification are described,adequate,Benchmarks languages and evaluation settings are identifiable,adequate,Detection and functional evidence are quantitative,partial,Renaming and DIPPER paraphrasing are named but intensity and knowledge assumptions are not reported,included,Technically assessable with incomplete attack-condition detail,"ACW-Guo.pdf, Sections 4-5"
QA15,PS15,clear,Contextual variable-renaming provenance objective is explicit,clear,Graph-based embedder and blind extractor are described,adequate,Large language-specific train validation and test splits are reported,adequate,Bit and message recovery project verification naturalness and timing are quantified,adequate,Multiple operator families four renaming levels and a white-box second watermark are specified,included,Rich evidence; existing-code functions lack standalone execution tests,"CodeMark.pdf, Sections III-VII"
QA16,PS16,clear,Execution-aware adaptive token watermarking objective is explicit,clear,RL position selection partitioning and learned detection are described,adequate,Benchmarks languages models and training feedback are identifiable,adequate,Detection Pass@k and parameter memory and delay overhead are quantified,partial,Renaming and DIPPER paraphrasing are reported but attacked-code functionality is not retested,included,The evaluation is quantitative but robustness covers watermark detection only,"CodeTracer.pdf, Section 5 and Tables 1-3"
QA17,PS17,clear,Entropy-adaptive watermark-strength objective is explicit,clear,Adaptive bias calibration and entropy-recomputed z-test are described,adequate,Single model and Python Java C++ benchmark subsets are reported,adequate,AUROC controlled-FPR TPR and Pass@1 are quantitative,not_evaluated,Only clean generations are tested; no edit transformation or removal attack is applied,included,Relevant method with explicit clean evaluation but no empirical robustness protocol,"EAW.pdf, Sections 3-4"
QA18,PS18,clear,Scalable dual-channel source attribution objective is explicit,clear,MutableAST selector transformation channels and blind extraction are described,adequate,Exact processed counts for existing-code corpora and multilingual MBXP are reported,adequate,Message/bit recovery syntax execution retrieval and efficiency are quantified,adequate,Four renaming levels transformation compositions adaptive white/black-box removal and re-watermarking include MBXP pass rates,included,Broad multilingual and adaptive evidence with executable post-attack validation on MBXP,"SrcMarker.pdf, Sections IV-V"
QA19,PS19,clear,"Double-threshold, entropy-adaptive code-watermarking objective balancing generation quality and detection is explicit",clear,Three-list (green/yellow/red) entropy-gated logit bias (Algorithm 1) and a unified green/yellow z-score detector (Algorithm 2) are fully specified,partial,"HumanEval, MBPP, and DS-1000 Python tasks are used, but only a single model (StarCoder) is evaluated",adequate,"Pass@1, AUROC, and TPR/FPR are reported against post-hoc detectors (DetectGPT, GPTZero, OpenAI Classifier) and watermark baselines (EXP-EDIT, WLLM, SWEET) across three datasets",partial,Robustness is tested only against variable renaming/refactoring intensity swept from 0-100% (Fig. 3); no other perturbation types are evaluated,included,"Clear mechanism with strong baseline comparison and executable Pass@1 quality checks, but limited to a single model and a single attack dimension","DTW.pdf, Sections 2-4"
QA20,PS20,clear,Redundant dual-channel multi-bit provenance objective is explicit,clear,Natural/formal decomposition learned encoders and blind extraction are described,adequate,Training evaluation and transferred multilingual resources are reported,adequate,Bit/message recovery project verification execution naturalness and timing are quantitative,adequate,Composed transformations intensities and adaptive white/black-box attacks include execution checks,included,Comprehensive evidence; some training/evaluation uses rely on existing-code functions,"DWC.pdf, Sections 3-5"
QA21,PS21,clear,Compiler-bound watermark injection and output-only detection objective for traceable AI text and code generation is explicit,clear,Keyed logit-bias injection at the compiled decode boundary and a replay-based sequence-level detection statistic are described with full derivations and an algorithm,partial,"Evaluation uses a single primary backbone model (TinyLlama) plus a toy model for ablation only, with a custom bucketed prompt set rather than a public code benchmark",adequate,"AUROC and TPR at 1% FPR are reported against KGW and Unigram baselines across three decoding modes, alongside quality-retention, deployment-overhead, and ablation results",partial,"Robustness on the code side is scoped to lightweight redistribution-time edits (formatting, variable renaming, comment removal, mixed normalization); truncation and paraphrase attacks are tested only on the natural-language side. The paper explicitly excludes full regeneration, heavy semantic rewriting, or recompilation from its threat model",included,"Rigorous peer-reviewed systems contribution with genuine text/code generality, but evaluated on a single backbone model and a non-public code prompt set, with robustness claims explicitly scoped to lightweight edits","ASLang.pdf, Sections III, IV, VI-VII"
