application_id,protocol_id,method_id,operationalization,attacker_knowledge,post_attack_detectability_measured,post_attack_functionality_measured,post_attack_imperceptibility_measured,source_location
RPA015,RP01,M21,Variable renaming on 128-token code outputs; TPR 74.6% at 1% FPR vs. 81.7% clean,not_reported,yes,no,no,"ASLang.pdf, Section VII-E and Table III"
RPA016,RP02,M05,Pyrefact semantic refactoring; post-attack TPR reported on HumanEval and MBPP,black_box,yes,no,no,"MATRIX.pdf, Section V-D and Table VIII"
RPA017,RP02,M08,One to three random transformations,black_box,yes,yes,yes,"CLASP.pdf, Sections 5.1-5.3 and Table 4"
RPA018,RP02,M09,CodePal AI Code Refactor on HumanEval+,black_box,yes,no,no,"STONE.pdf, Section 6.2 and Table 4"
RPA019,RP02,M12,Ruff toolkit with sets of 103 or 369 transformations,black_box,yes,yes,yes,"ACW-Li.pdf, Figures 6-9 and Table V"
RPA020,RP02,M13,CodePal AI Code Refactor on 273 MBPP samples that all methods generated without syntax errors,black_box,yes,no,no,"SWEET.pdf, Section 6.4"
RPA021,RP02,M15,"RopGen transformation groups, applied by relation to variable context",not_reported,yes,no,yes,"CodeMark.pdf, Section V-C and Tables IV-V"
RPA022,RP02,M18,One to three MutableAST transformations; dual attack combining 50% renaming plus two transforms,black_box,yes,yes,yes,"SrcMarker.pdf, Tables 6-8"
RPA023,RP02,M20,One to three transformations,black_box,yes,yes,no,"DWC.pdf, Section 5.4 and Tables 8-10"
RPA024,RP03,M01,Qwen2.5-Coder-32B-Instruct refactoring; DeepSeek-Coder-7B refactoring on Java and C++,black_box,yes,no,no,"RoSeMary.pdf, Section 5.5 and Figure 3"
RPA025,RP03,M03,Five rewriting models at temperature 0.3 and top-p 0.95,Attacker assumed not to know the secret assignment key,yes,no,no,"MultiChannel.pdf, Sections 6.1-6.7 and Tables 5-10"
RPA026,RP03,M04,GPT-Codex-5.3 paraphrasing with instructed variable renaming,Black-box attacker without secret key,yes,no,no,"PromptMark.pdf, Section 5.3 and Table 3"
RPA027,RP03,M05,GPT-4o rewriting; post-attack TPR reported on HumanEval and MBPP,black_box,yes,no,no,"MATRIX.pdf, Section V-D and Table VIII"
RPA028,RP03,M06,Qwen2.5-3B-Instruct and DeepSeek-Coder-7B-Instruct refactoring on HumanEval and MBPP,black_box,yes,no,no,"SWaRL.pdf, Table 2 and Figure 4"
RPA029,RP03,M08,GPT-4o semantic rewriting,"Attacker knows the LLM-assisted setting but not the private rules, original-code repository, or extraction procedure",yes,yes,yes,"CLASP.pdf, Sections 5.1-5.3 and Table 4"
RPA030,RP03,M09,GPT-4o paraphrasing on HumanEval+,black_box,yes,no,no,"STONE.pdf, Section 6.2 and Table 4"
RPA031,RP03,M14,DIPPER paraphrasing on HumanEval; AUROC and TPR reported after attack,black_box,yes,no,no,"ACW-Guo.pdf, Section 5.2 and Table 5"
RPA032,RP03,M16,DIPPER paraphrasing; AUROC and TPR reported after attack,black_box,yes,no,no,"CodeTracer.pdf, Table 3"
RPA033,RP04,M05,Black code formatting; post-attack TPR reported on HumanEval and MBPP,black_box,yes,no,no,"MATRIX.pdf, Section V-D and Table VIII"
RPA034,RP04,M21,Formatting normalization of 128-token code outputs; TPR 79.8% at 1% FPR vs. 81.7% clean,not_reported,yes,no,no,"ASLang.pdf, Section VII-E and Table III"
RPA035,RP05,M04,Random removal of comments,Black-box attacker without secret key,yes,no,no,"PromptMark.pdf, Section 5.3 and Table 3"
RPA036,RP05,M07,Exclude the natural-language/comment portion from the detection scope and compare TPR under a uniform z-threshold; operationalized as scope exclusion at detection time rather than an edit to the generated code,not_reported,yes,no,no,"CodeAcrostic.pdf, Section 5.2 and Table 2a"
RPA037,RP05,M21,Comment removal on 128-token code outputs; TPR 80.3% at 1% FPR vs. 81.7% clean,not_reported,yes,no,no,"ASLang.pdf, Section VII-E and Table III"
RPA038,RP06,M11,Remove 25% or 50% of the generated artifact; extraction rate measured after attack,black_box,yes,no,no,"CodeIP.pdf, Section 5.4 and Table 3"
RPA039,RP07,M10,"Eight attacks: insert comments, assignments, and redundant statements; modify identifiers, I/O, comments, literals, and assignments; or remove modifiable elements; 50 samples times three trials per attack",black_box,yes,no,no,"MCGMark.pdf, Tables 7-8"
RPA040,RP08,M15,NatGen rewriting,not_reported,yes,no,yes,"CodeMark.pdf, Section V-C and Tables IV-V"
RPA041,RP09,M12,Adaptive similarity analysis with CodeBERTScore and CodeBLEU,white_box_adaptive (embedding-aware),yes,yes,yes,"ACW-Li.pdf, Figures 6-9 and Table V"
RPA042,RP09,M15,ONION with CodeGPT replacing the highest-perplexity variable,not_reported,yes,no,yes,"CodeMark.pdf, Section V-C and Tables IV-V"
RPA043,RP10,M12,CodeT5+ 770M learned de-watermarking model,white_box_adaptive (embedding-aware),yes,yes,yes,"ACW-Li.pdf, Figures 6-9 and Table V"
RPA044,RP10,M18,Learned white- and black-box removal model,white_box_and_black_box_adaptive,yes,yes,yes,"SrcMarker.pdf, Tables 6-8"
RPA045,RP10,M20,Learned white- and black-box removal on MBJP and MBCPP,white_box_and_black_box_adaptive,yes,yes,no,"DWC.pdf, Section 5.4 and Tables 8-10"
RPA046,RP11,M01,Surrogate-model RoSeMary re-watermarking,surrogate_model_adaptive,yes,no,no,"RoSeMary.pdf, Section 5.5 and Figure 3"
RPA047,RP11,M15,White-box second-watermark injection with an independently trained model,white_box,yes,no,yes,"CodeMark.pdf, Section V-C and Tables IV-V"
RPA048,RP11,M18,Learned re-watermarking (white- and black-box),white_box_and_black_box_adaptive,yes,yes,yes,"SrcMarker.pdf, Tables 6-8"
RPA049,RP11,M20,Learned re-watermarking (second watermark) on MBJP and MBCPP,white_box_and_black_box_adaptive,yes,yes,no,"DWC.pdf, Section 5.4 and Tables 8-10"
RPA050,RP12,M20,50% renaming combined with two transformations (joint identifier- and structural-channel removal) on MBJP and MBCPP,white_box_and_black_box_adaptive,yes,yes,no,"DWC.pdf, Section 5.4 and Tables 8-10"
RPA051,RP13,M03,Eight structural channels perturbed jointly,Attacker assumed not to know the secret assignment key,yes,no,no,"MultiChannel.pdf, Sections 6.1-6.7 and Tables 5-10"
RPA052,RP14,M03,Corrupt 10/20/30/40% of sites,Attacker assumed not to know the secret assignment key,yes,no,no,"MultiChannel.pdf, Sections 6.1-6.7 and Tables 5-10"
RPA053,RP15,M21,"Combined formatting, renaming, comment removal, and literal/declaration normalization; TPR 68.4% at 1% FPR vs. 81.7% clean",not_reported,yes,no,no,"ASLang.pdf, Section VII-E and Table III"
